ID;PUNTO DE MEDICION;ESTADO;FECHA;DIAF;MESF;ANOF;HORA;HORARIO;CAUDAL ACUMULADO ANTERIOR;CAUDAL ACUMULADO;LECTURA MES ANTERIOR;LECTURA REGISTRO;INSTRUMENTO
SIM13;"Mata Caña llegando al Tanque 4""";Operacion Correcta;30/6/22;30;6;2022;8:41:00 a. m.;AM;867.496,00;888.364,00;6,8;8,43; MA 
SIM14;"Limpieza Tanque Victoria 8""";Datos Irregulares;30/6/22;30;6;2022;8:41:00 a. m.;AM;19.829,00;;;; MA 
SIM01;"Tanque Succion  tanque Victoria 6""";Operacion Correcta;30/6/22;30;6;2022;;AM;1.344.247,00;;15;; MA 
SIM09;"Rebombeo Chizos t. victoria 6""";Operacion Correcta;30/6/22;30;6;2022;8:36:00 a. m.;AM;823.384,52;;  ;; MA 
SIM10;"Rebombeo Victoria  hacia el norte 4""";Operacion Correcta;30/6/22;30;6;2022;8:37:00 a. m.;AM;17.944,57;18.157,91;  ;0,16; MA 
PEND;"Victoria Saliendo 6""";Operacion Correcta;30/6/22;30;6;2022;8:38:00 a. m.;AM;1.483.910,00;1.522.589,00;  ;18,9; MA 
SIM16;"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")";Operacion Correcta;30/6/22;30;6;2022;9:10:00 a. m.;AM;256.427,00;260.076,00;;; MA 
SIM05;"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")";Operacion Correcta;30/6/22;30;6;2022;9:12:00 a. m.;AM;453.844,13;464.033,90;8,49;; MA 
SIM08;"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")";Operacion Correcta;30/6/22;30;6;2022;9:12:00 a. m.;AM;443.793,11;453.303,18;14,09; -   ; MA 
SIM06;"Fuente Yurro Hondo T Chilillal (4"")";Operacion Correcta;30/6/22;30;6;2022;9:24:00 a. m.;AM;172.434,00;183.648,00;3,71;6,46; MA 
SIM07;"Fuente Tranqueras T Chilillal (4"")";Operacion Correcta;30/6/22;30;6;2022;9:26:00 a. m.;AM;13.883,00;23.750,00;3,51;2,77; MA 
SRM04;Entrada Predio  Breña Mora (Estación Esquina);Estación Fuera de Operación Definitiva;30/6/22;30;6;2022;;AM;;;;; MA 
SRM51;Breña Mora Entrada Planta;Operacion Correcta;1/7/22;1;7;2022;10:01:00 a. m.;AM;1.306.458,06;1.347.430,30;16;16,5; MA 
SRM50;Breña Mora Salida Planta Tratamiento;Operacion Correcta;30/6/22;30;6;2022;9:42:00 a. m.;AM;1.144.498,30;1.176.661,30;;19,3; MA 
PEND;Salida Tanque Breña Mora  Tanque San Isidro;Operacion Correcta;30/6/22;30;6;2022;9:40:00 a. m.;AM;85.820,00;96.808,00;14,57;16,83; MA 
SRM46;"Rebombeo T Sn Isidro  T Breña Mora (6"")";Macromedidor en mal estado;30/6/22;30;6;2022;9:49:00 a. m.;AM;13.386,00;13.386,00;;; MA 
